Fiscal Year,Quarter,Department,Start Date,Recruitment Date,Exam Number,Job,# Days to Complete Recruitment,Position Type,Goal for type of position,Successful Recruitment (Y/N)
2018,Q1,Economic and Urban Development Department,6/26/2017 00:00,7/17/2017 00:00,17JUN79999-O,Parking Technician Supervisor,21,Classified,54,1
2018,Q1,Office of the City  Clerk,6/26/2017 00:00,7/19/2017 00:00,17JUNE79705,Enterprise Records Officer,23,Appointive / Executive,60,1
2018,Q1,Public Works Department,6/26/2017 00:00,7/18/2017 00:00,17JUN79908 - O,Sr Traffic Systems Technician,22,Classified,54,1
2018,Q1,Building and Safety Department,6/27/2017 00:00,9/25/2017 00:00,17JUN1381-O,Management Analyst II,90,Appointive / Executive,60,0
2018,Q1,Human Resources Department,6/28/2017 00:00,8/22/2017 00:00,17JUN79929-O,Human Resources Analyst I (X) - Class & Compensation,55,Appointive / Executive,60,1
2018,Q1,Operations and Maintenance Department,7/6/2017 00:00,8/9/2017 00:00,17JUL00394R-O,Sr Mechanic,34,Classified,54,1
2018,Q1,Planning Department,7/10/2017 00:00,7/31/2017 00:00,17JUL1279-P,Sr Management Analyst,21,Appointive / Executive,60,1
2018,Q3,Information Technologies Department,7/13/2017 00:00,2/12/2018 00:00,17JULY1192-O,Database Administrator,214,Appointive / Executive,60,0
2018,Q1,Municipal Court,7/20/2017 00:00,8/23/2017 00:00,1700239RV,Sr Applications Programmer,34,Classified,54,1
2018,Q1,Information Technologies Department,7/26/2017 00:00,8/10/2017 00:00,17JULY79546-O,Enterprise Project Manager,15,Appointive / Executive,60,1
2018,Q2,Information Technologies Department,7/26/2017 00:00,11/15/2017 00:00,17JULY79546-O,Enterprise Project Manager,112,Appointive / Executive,60,0
2018,Q2,Municipal Court,7/26/2017 00:00,10/18/2017 00:00,17AUG79480-O,Pre-Trial Services Officer,84,Classified,54,0
2018,Q1,Finance Department,8/8/2017 00:00,8/29/2017 00:00,17AUG230108-P,Contracts Specialist,21,Classified,54,1
2018,Q1,Office of Cultural Affairs,8/9/2017 00:00,9/12/2017 00:00,17AUG80000-O,Production Services Supervisor,34,Classified,54,1
2018,Q2,Community Services,8/9/2017 00:00,10/17/2017 00:00,17AUG80009-O,Community Services Administrator,69,Appointive / Executive,60,0
2018,Q3,Community Services,8/9/2017 00:00,1/17/2018 00:00,17AUG80009-O,Community Services Administrator,161,Appointive / Executive,60,0
2018,Q1,Public Works Department,8/10/2017 00:00,9/13/2017 00:00,17AUG79863-O,Engineering Technician,34,Classified,54,1
2018,Q1,Public Works Department,8/10/2017 00:00,9/19/2017 00:00,17AUG80008-O,Assistant Transportation Manager,40,Appointive / Executive,60,1
2018,Q1,Information Technologies Department,8/15/2017 00:00,8/15/2017 00:00,17AUG79931-O,IT Security Architect,0,Appointive / Executive,60,1
2018,Q1,Building and Safety Department,8/17/2017 00:00,9/19/2017 00:00,17AUG2264-O,Inspections Supervisor,33,Classified,54,1
2018,Q1,Public Works Department,8/21/2017 00:00,9/25/2017 00:00,17AUG79803-O CED,Environmental Compliance Inspector (City Engineer Division),35,Classified,54,1
2018,Q1,Public Works Department,8/21/2017 00:00,9/25/2017 00:00,17AUG79803-O ED,Environmental Compliance Inspector (Environmental Division),35,Classified,54,1
2018,Q1,Building and Safety Department,8/28/2017 00:00,8/28/2017 00:00,1700514RV,Sr Management Analyst,0,Appointive / Executive,60,1
2018,Q2,Operations and Maintenance Department,8/28/2017 00:00,10/9/2017 00:00,17AUG00470-P,Motor Sweeper Operator,42,Classified,54,1
2018,Q2,Operations and Maintenance Department,8/31/2017 00:00,10/11/2017 00:00,17SEP2261-O,Facilities Maintenance Supervisor (REVISED),41,Classified,54,1
2018,Q1,Human Resources Department,9/6/2017 00:00,9/26/2017 00:00,17SEP00512-O,Human Resources Technician,20,Classified,54,1
2018,Q1,Human Resources Department,9/7/2017 00:00,9/14/2017 00:00,17SEPT79927-O,Human Resources Analyst II (X),7,Appointive / Executive,60,1
2018,Q2,Office of Administrative Services,9/12/2017 00:00,11/15/2017 00:00,17SEP1381 - O,Management Analyst II,64,Appointive / Executive,60,0
2018,Q2,Municipal Court,9/20/2017 00:00,11/30/2017 00:00,17SEP79649-O,Court Clerk (Limited to the first 300 qualified applicants),71,Classified,54,0
2018,Q2,Office of Administrative Services,9/27/2017 00:00,11/1/2017 00:00,17SEP1600-P,Administrative Secretary - PROMOTIONAL,35,Appointive / Executive,60,1
2018,Q2,Municipal Court,10/2/2017 00:00,11/30/2017 00:00,1700493RV,Alternative Sentencing Specialist II (X),59,Classified,54,0
2018,Q2,Public Works Department,10/2/2017 00:00,11/20/2017 00:00,17SEP80007-O,Underground Utility Technician,49,Classified,54,1
2018,Q2,Operations and Maintenance Department,10/3/2017 00:00,10/26/2017 00:00,17OCT79792-O,Construction Inspector,23,Classified,54,1
2018,Q2,Information Technologies Department,10/16/2017 00:00,10/26/2017 00:00,17OCT2266-2-O,Sr Systems Analyst- OBIEE,10,Classified,54,1
2018,Q2,Building and Safety Department,10/19/2017 00:00,11/14/2017 00:00,17OCT0195-P,"Director, Building and Safety - Promotional",26,Appointive / Executive,60,1
2018,Q2,Public Works Department,10/19/2017 00:00,12/12/2017 00:00,17OCT79906-O,Traffic Systems Technician Trainee (X),54,Classified,54,1
2018,Q2,Economic and Urban Development Department,10/23/2017 00:00,11/27/2017 00:00,17OCT3463O,Parking Enforcement Officer,35,Classified,54,1
2018,Q2,Public Works Department,10/23/2017 00:00,11/30/2017 00:00,1700328RV,Plant Operator I (X),38,Classified,54,1
2018,Q2,Human Resources Department,10/25/2017 00:00,12/19/2017 00:00,17OCT1277-O,Safety/Loss Control Officer,55,Appointive / Executive,60,1
2018,Q2,Office of the City Attorney,10/25/2017 00:00,10/25/2017 00:00,17OCT1385-P,City Attorney Investigator,0,Appointive / Executive,60,1
2018,Q2,Youth Development & Social Innovation,11/1/2017 00:00,12/4/2017 00:00,17NOV79978-O,Sr Youth Development Specialist,33,Classified,54,1
2018,Q2,Office of Administrative Services,11/2/2017 00:00,12/6/2017 00:00,17NOV1279 - O OAS,Sr Management Analyst,34,Appointive / Executive,60,1
2018,Q2,City-Wide,11/13/2017 00:00,12/13/2017 00:00,17NOV79924,Administrative Support Assistant,30,Classified,54,1
2018,Q3,Planning Department,11/16/2017 00:00,1/8/2018 00:00,17NOV1279 - O,Sr Management Analyst,53,Appointive / Executive,60,1
2018,Q3,Planning Department,11/16/2017 00:00,2/26/2018 00:00,17NOV1279 - O,Sr Management Analyst,102,Appointive / Executive,60,0
2018,Q3,Planning Department,11/16/2017 00:00,2/8/2018 00:00,17OCT79770-O,Planning Section Manager,84,Appointive / Executive,60,0
2018,Q3,Office of the City Attorney,11/21/2017 00:00,1/2/2018 00:00,17NOV79517-O,Legal Technician I (X),42,Classified,54,1
2018,Q2,Parks and Recreation,11/29/2017 00:00,12/28/2017 00:00,17DEC7988-O,Community Program Specialist,29,Classified,54,1
2018,Q3,City-Wide,12/4/2017 00:00,1/29/2018 00:00,17DEC3060-O,Accounting Technician II,56,Classified,54,0
2018,Q3,Human Resources Department,12/5/2017 00:00,1/8/2018 00:00,17DEC79410-P,Deputy Human Resources Director,34,Appointive / Executive,60,1
2018,Q2,Information Technologies Department,12/6/2017 00:00,12/6/2017 00:00,17DECDepITDir,Deputy Information Technologies Director,0,Appointive / Executive,60,1
2018,Q3,City-Wide,12/11/2017 00:00,1/29/2018 00:00,17DEC79766-O,Materials Management Technician,49,Classified,54,1
2018,Q2,Finance Department,12/13/2017 00:00,12/13/2017 00:00,17DEC1175-P,Administrative Officer,0,Appointive / Executive,60,1
2018,Q3,Parks and Recreation,12/14/2017 00:00,1/11/2018 00:00,17DEC79779-O,Inclusion Recreation Specialist,28,Classified,54,1
2018,Q3,Public Works Department,12/20/2017 00:00,1/31/2018 00:00,17DEC79443-O,Purchasing Technician,42,Classified,54,1
2018,Q3,Economic and Urban Development Department,12/20/2017 00:00,1/30/2018 00:00,17DEC80013-O,Parking Office Supervisor,41,Classified,54,1
2018,Q3,Finance Department,12/26/2017 00:00,1/11/2018 00:00,18JAN3410-O,Accounting Technician I,16,Classified,54,1
2018,Q3,Finance Department,1/2/2018 00:00,3/1/2018 00:00,18JAN80015-O,Payroll Analyst,58,Appointive / Executive,60,1
2018,Q3,Department of Public Safety,1/4/2018 00:00,2/15/2018 00:00,18JAN3468-O,Animal Control Officer,42,Classified,54,1
2018,Q3,Finance Department,1/8/2018 00:00,1/8/2018 00:00,18JAN1477-O,Financial Analyst I (X),0,Appointive / Executive,60,1
2018,Q4,Department of Public Safety,1/8/2018 00:00,4/26/2018 00:00,18JAN79773-O,D&E Communications Specialist,108,Classified,54,0
2018,Q3,Community Services,1/9/2018 00:00,1/9/2018 00:00,18JAN1279,Sr Management Analyst,0,Appointive / Executive,60,1
2018,Q3,Building and Safety Department,1/9/2018 00:00,3/12/2018 00:00,18JAN2233-O,Structural Plans Examiner,62,Classified,54,0
2018,Q3,Public Works Department,1/10/2018 00:00,1/18/2018 00:00,18JAN0187-P,"Director, Public Works",8,Appointive / Executive,60,1
2018,Q3,Operations and Maintenance Department,1/10/2018 00:00,3/6/2018 00:00,18JAN79493-O,Program Manager - Engineering,55,Appointive / Executive,60,1
2018,Q3,Operations and Maintenance Department,1/11/2018 00:00,2/28/2018 00:00,18JAN79819-O,Maintenance Worker,48,Classified,54,1
2018,Q3,Planning Department,1/16/2018 00:00,1/31/2018 00:00,18JAN79980-O,Sr License Technician,15,Classified,54,1
2018,Q3,Office of Administrative Services,1/23/2018 00:00,1/23/2018 00:00,1700738RV,Deputy Administrative Services Director,0,Appointive / Executive,60,1
2018,Q3,Human Resources Department,1/24/2018 00:00,2/13/2018 00:00,18JAN2479928-O,Sr Human Resources Analyst (Recruitment & Selection),20,Appointive / Executive,60,1
2018,Q3,Office of Communications,1/29/2018 00:00,2/13/2018 00:00,17JAN79808 -O,Print Media Operator,15,Classified,54,1
2018,Q3,Planning Department,1/29/2018 00:00,3/1/2018 00:00,18JAN2811-O,Code Enforcement Officer I (X),31,Classified,54,1
2018,Q3,Planning Department,1/30/2018 00:00,1/30/2018 00:00,1800045V,"Director, Planning",0,Appointive / Executive,60,1
2018,Q3,Information Technologies Department,1/30/2018 00:00,3/12/2018 00:00,18JAN79943-O,Information Technologies Supervisor,41,Classified,54,1
2018,Q4,Economic and Urban Development Department,1/30/2018 00:00,4/5/2018 00:00,18JAN79736 - O,Business Development Manager,65,Appointive / Executive,60,0
2018,Q4,Municipal Court,1/31/2018 00:00,4/2/2018 00:00,18JAN1381-O,Management Analyst II,61,Appointive / Executive,60,0
2018,Q4,Municipal Court,1/31/2018 00:00,4/5/2018 00:00,18JAN1381-O,Management Analyst II,64,Appointive / Executive,60,0
2018,Q3,Parks and Recreation,2/1/2018 00:00,3/12/2018 00:00,18FEB79523-P,Technical Systems Analyst (Promotional Only),39,Classified,54,1
2018,Q3,Youth Development & Social Innovation,2/7/2018 00:00,2/13/2018 00:00,18FEB80001-O,Community and Youth Development Officer,6,Appointive / Executive,60,1
2018,Q3,Planning Department,2/8/2018 00:00,3/20/2018 00:00,18FEB79905-O,Internet License Investigator,40,Classified,54,1
2018,Q3,Operations and Maintenance Department,2/12/2018 00:00,3/12/2018 00:00,18FEB2506-P,Park Maintenance Field Supervisor,28,Classified,54,1
2018,Q4,Planning Department,2/15/2018 00:00,4/3/2018 00:00,18FEB79816-O,License Officer,47,Classified,54,1
2018,Q3,Information Technologies Department,2/20/2018 00:00,2/20/2018 00:00,18FEB1279-O,Sr Management Analyst,0,Appointive / Executive,60,1
2018,Q3,Planning Department,2/20/2018 00:00,3/22/2018 00:00,18FEB79772-O,Business License Section Manager,32,Appointive / Executive,60,1
2018,Q3,Information Technologies Department,2/21/2018 00:00,3/15/2018 00:00,18FEB79524-O,Sr Technical Systems Analyst,22,Classified,54,1
2018,Q4,Public Works Department,2/21/2018 00:00,4/5/2018 00:00,18FEB79951 - O,Transportation Manager,43,Appointive / Executive,60,1
2018,Q3,Information Technologies Department,2/22/2018 00:00,3/29/2018 00:00,18FEB3155-O,GIS Technician,35,Classified,54,1
2018,Q3,Community Services,2/27/2018 00:00,3/28/2018 00:00,18FEB7988-O,Grant Program Coordinator,29,Classified,54,1
2018,Q3,Operations and Maintenance Department,3/1/2018 00:00,3/27/2018 00:00,18MAY1381-O,Management Analyst II,26,Appointive / Executive,60,1
2018,Q3,Fire and Rescue Department,3/2/2018 00:00,3/6/2018 00:00,1800073V,Sr Deputy Fire Chief,4,Appointive / Executive,60,1
2018,Q3,Information Technologies Department,3/7/2018 00:00,3/8/2018 00:00,18MAR80021,IT Security Analyst I (X),1,Appointive / Executive,60,1
2018,Q4,Operations and Maintenance Department,3/7/2018 00:00,4/26/2018 00:00,18JAN3510-P,Equipment Operator I,50,Classified,54,1
2018,Q3,Planning Department,3/12/2018 00:00,3/28/2018 00:00,18MAR80014-O,Code Enforcement Technician,16,Classified,54,1
2018,Q4,Operations and Maintenance Department,3/12/2018 00:00,4/26/2018 00:00,18MAR79883-O,Building Services Electrician,45,Classified,54,1
2018,Q4,Public Works Department,3/19/2018 00:00,4/10/2018 00:00,18MAR2702 - O,Sr. Engineering Technician,22,Classified,54,1
2018,Q4,Operations and Maintenance Department,3/26/2018 00:00,5/10/2018 00:00,18MAR2765-P,Streets & Sanitation Crew Leader,45,Classified,54,1
2018,Q4,Planning Department,3/26/2018 00:00,5/10/2018 00:00,18MAR2764-O,Planner II (X),45,Classified,54,1
2018,Q4,Planning Department,3/26/2018 00:00,5/10/2018 00:00,18MAR3069-O,Planner I (X),45,Classified,54,1
2018,Q4,Operations and Maintenance Department,4/3/2018 00:00,5/9/2018 00:00,18FEB79806-P,Facilities Project Manager (Promotional Only),36,Classified,54,1
2018,Q4,Planning Department,4/5/2018 00:00,4/24/2018 00:00,18APR2442-P,Sr License Officer,19,Classified,54,1
2018,Q4,Development Services Center,4/9/2018 00:00,4/9/2018 00:00,1800044V,Development Services Administrator,0,Appointive / Executive,60,1
2018,Q4,Office of Administrative Services,5/10/2018 00:00,5/10/2018 00:00,18MAY1279 - P,Sr Management Analyst,-1,Appointive / Executive,60,1
